Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,106.7,,50.4%,,15.4%,,28.2%,,21.6,,106.7,,50.4%,,15.4%,,28.2%,,21.6
San Antonio,62,20,1,+8.4,7,110.6,2,53.9%,9,15.1%,26,25.0%,24,19.1,4,102.2,4,48.4%,23,14.6%,2,26.0%,2,18.2
LA Clippers,57,25,2,+7.1,1,112.2,5,52.6%,6,14.3%,19,27.9%,2,26.1,10,105.1,5,48.7%,9,16.0%,26,30.2%,17,22.3
Oklahoma City,59,23,3,+7.0,5,110.8,8,52.2%,17,15.8%,14,28.6%,5,24.7,5,103.8,6,49.0%,13,15.8%,9,27.4%,16,22.2
Golden State,51,31,4,+5.9,11,107.9,7,52.3%,15,15.5%,22,27.0%,27,18.6,3,102.0,3,47.7%,16,15.5%,4,26.4%,19,22.8
Miami,54,28,5,+5.8,2,111.6,1,55.9%,22,16.1%,29,23.0%,8,23.0,11,105.8,20,51.3%,1,18.2%,27,30.3%,13,21.4
Indiana,56,26,6,+5.1,22,104.4,19,49.2%,27,16.4%,16,28.3%,9,22.8,1,99.3,1,46.3%,20,14.8%,5,26.5%,8,19.7
Houston,54,28,7,+4.9,4,111.0,3,53.4%,29,16.7%,12,29.7%,1,27.7,13,106.2,8,49.1%,26,14.3%,20,28.9%,7,19.6
Portland,54,28,8,+4.3,3,111.6,14,50.5%,3,14.1%,4,30.8%,13,22.1,16,107.3,7,49.1%,30,12.5%,13,27.7%,6,19.2
Toronto,48,34,9,+3.8,10,108.9,15,50.1%,12,15.3%,9,30.1%,6,24.0,9,105.1,10,49.5%,7,16.1%,19,28.6%,27,23.8
Phoenix,48,34,10,+3.4,8,109.7,6,52.4%,19,15.9%,15,28.5%,11,22.3,14,106.2,11,49.7%,12,15.9%,21,29.1%,25,23.6
Minnesota,40,42,11,+3.2,9,109.2,20,49.0%,2,14.1%,5,30.7%,4,25.4,12,106.0,26,52.1%,4,16.9%,12,27.5%,1,17.7
Chicago,48,34,12,+3.2,25,103.3,30,47.6%,26,16.4%,3,30.9%,10,22.8,2,100.1,2,47.2%,11,15.9%,8,27.4%,4,18.9
Memphis,50,32,13,+2.3,15,106.6,18,49.6%,10,15.2%,2,31.5%,29,18.5,7,104.3,12,49.8%,14,15.7%,6,26.7%,11,20.0
Dallas,49,33,14,+2.3,6,110.7,4,52.8%,5,14.2%,23,26.2%,18,20.3,22,108.4,23,51.8%,6,16.8%,24,29.5%,23,23.2
Washington,44,38,15,+1.4,17,106.0,12,50.9%,14,15.4%,21,27.3%,30,18.4,8,104.6,15,50.6%,3,16.9%,7,27.2%,15,22.0
Charlotte,43,39,16,-0.3,24,103.9,26,48.2%,1,13.3%,24,25.5%,14,22.1,6,104.2,9,49.2%,27,14.3%,1,25.7%,3,18.5
Brooklyn,44,38,17,-0.5,14,106.9,9,51.7%,16,15.6%,27,24.4%,7,23.7,17,107.4,18,51.0%,2,17.1%,25,30.0%,24,23.5
Atlanta,38,44,18,-0.6,19,105.8,10,51.6%,21,16.1%,28,24.4%,16,20.7,15,106.4,19,51.3%,8,16.0%,15,27.8%,9,19.9
New York,37,45,19,-1.1,12,107.9,11,50.9%,4,14.2%,20,27.3%,26,18.9,23,109.0,22,51.7%,10,15.9%,17,28.3%,28,24.3
Denver,36,46,20,-2.1,18,106.0,16,50.0%,24,16.2%,11,29.9%,12,22.1,21,108.0,13,50.1%,24,14.5%,18,28.5%,22,23.1
Cleveland,33,49,21,-3.0,21,104.8,25,48.3%,8,15.0%,8,30.2%,17,20.3,19,107.8,17,50.9%,21,14.7%,11,27.5%,10,19.9
New Orleans,34,48,22,-3.0,13,107.1,17,49.9%,7,14.8%,13,29.0%,15,21.9,25,110.2,25,51.8%,17,15.5%,22,29.1%,30,25.1
Sacramento,28,54,23,-3.8,20,105.6,24,48.5%,23,16.1%,6,30.7%,3,25.4,24,109.3,24,51.8%,25,14.3%,3,26.1%,26,23.6
Detroit,29,53,24,-4.1,16,106.2,23,48.6%,13,15.3%,1,33.5%,21,19.9,26,110.3,28,52.3%,15,15.5%,23,29.4%,14,21.9
Boston,25,57,25,-5.7,27,102.3,29,47.7%,28,16.4%,7,30.4%,25,19.1,20,107.9,16,50.8%,19,15.1%,16,28.2%,20,23.0
Orlando,23,59,26,-6.0,29,101.8,21,48.9%,18,15.8%,25,25.3%,23,19.1,18,107.8,14,50.6%,22,14.6%,10,27.5%,12,20.9
LA Lakers,27,55,27,-6.8,23,104.0,13,50.6%,11,15.2%,30,22.6%,22,19.8,27,110.8,21,51.5%,28,14.2%,30,31.0%,5,19.2
Utah,25,57,28,-9.3,26,102.9,22,48.7%,20,15.9%,18,28.0%,20,20.1,30,112.2,27,52.3%,29,13.6%,14,27.7%,21,23.0
Milwaukee,15,67,29,-10.2,28,101.9,27,48.0%,25,16.3%,10,30.0%,19,20.2,29,112.0,29,52.4%,18,15.3%,29,30.6%,18,22.8
Philadelphia,19,63,30,-11.7,30,99.4,28,47.7%,30,16.9%,17,28.0%,28,18.6,28,111.1,30,52.9%,5,16.9%,28,30.4%,29,24.9
