Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,41.0,41.0,,0.0,,105.8,,49.8%,,15.2%,,28.0%,,20.6,,105.8,,49.8%,,15.2%,,28.0%,,20.6
Golden State,67,15,1,+12.1,2,112.5,1,54.6%,11,14.6%,25,26.1%,27,18.2,1,100.4,1,46.9%,6,16.5%,18,28.4%,22,21.7
LA Clippers,56,26,2,+7.8,1,113.2,2,53.6%,2,12.8%,24,26.2%,7,21.9,14,105.4,15,49.7%,15,15.1%,8,26.9%,27,22.9
San Antonio,55,27,3,+6.9,8,108.8,5,52.2%,14,14.8%,27,25.8%,16,20.2,2,101.8,6,48.6%,14,15.2%,3,25.9%,9,19.3
Atlanta,60,22,4,+6.2,5,109.4,3,53.0%,17,15.0%,30,25.2%,13,20.3,5,103.2,12,49.5%,3,17.1%,21,28.8%,5,18.5
Cleveland,53,29,5,+5.4,3,111.4,4,52.2%,19,15.3%,4,30.1%,8,21.8,18,106.0,19,50.4%,21,14.5%,13,27.4%,1,17.6
Portland,51,31,6,+4.7,7,108.9,8,51.2%,6,14.2%,20,27.0%,26,18.3,10,104.2,3,48.0%,30,12.7%,4,26.1%,2,18.0
Houston,56,26,7,+3.9,11,107.6,6,51.6%,28,17.1%,9,29.4%,6,22.5,9,103.7,10,49.0%,4,16.9%,27,30.2%,17,20.8
Memphis,55,27,8,+3.8,13,105.9,19,49.1%,10,14.3%,15,27.7%,11,21.4,3,102.1,11,49.4%,7,16.4%,9,27.0%,4,18.4
Toronto,49,33,9,+3.5,4,111.3,9,51.1%,4,13.8%,11,28.6%,4,23.2,24,107.8,23,50.8%,12,15.6%,26,30.0%,16,20.8
Chicago,50,32,10,+3.1,12,107.5,22,49.1%,15,14.9%,5,29.9%,3,23.9,11,104.4,2,47.6%,29,12.9%,17,28.1%,3,18.1
Oklahoma City,45,37,11,+3.0,10,107.9,17,49.5%,18,15.3%,2,31.4%,9,21.7,13,105.0,8,48.9%,23,14.2%,5,26.4%,20,21.4
Dallas,50,32,12,+2.9,6,109.2,7,51.5%,3,13.5%,26,26.0%,18,19.9,19,106.3,22,50.7%,5,16.9%,29,30.6%,14,20.5
New Orleans,45,37,13,+0.8,9,108.3,12,50.3%,8,14.3%,7,29.8%,20,19.8,23,107.5,17,49.9%,28,13.2%,14,27.4%,11,19.6
Milwaukee,41,41,14,+0.7,24,102.9,13,50.1%,29,17.5%,13,27.9%,21,19.5,4,102.2,9,49.0%,1,18.2%,23,29.8%,25,22.5
Washington,46,36,15,+0.7,22,104.2,14,50.1%,23,15.9%,17,27.5%,23,19.3,7,103.6,5,48.5%,18,14.8%,6,26.5%,15,20.6
Indiana,38,44,16,+0.4,23,103.8,23,48.6%,16,14.9%,18,27.4%,14,20.3,6,103.4,4,48.1%,24,13.6%,2,25.3%,23,21.8
Utah,38,44,17,-0.1,15,105.5,16,49.6%,26,17.0%,1,31.9%,10,21.7,16,105.6,13,49.5%,22,14.4%,11,27.2%,12,19.9
Boston,40,42,18,-0.2,18,104.8,20,49.1%,7,14.2%,16,27.6%,29,17.6,12,105.0,14,49.7%,11,15.6%,16,27.8%,18,20.9
Phoenix,39,43,19,-0.2,14,105.5,10,50.6%,20,15.6%,23,26.4%,24,19.3,17,105.7,16,49.9%,9,16.0%,22,29.0%,24,22.2
Detroit,32,50,20,-1.7,16,105.1,25,48.3%,9,14.3%,3,30.3%,25,18.5,20,106.8,20,50.5%,17,14.9%,15,27.5%,10,19.4
Miami,37,45,21,-2.6,21,104.3,11,50.3%,25,16.3%,21,26.7%,5,22.8,21,106.9,25,50.8%,8,16.3%,24,29.9%,21,21.5
Brooklyn,38,44,22,-2.8,19,104.6,18,49.4%,13,14.7%,22,26.5%,19,19.9,22,107.4,24,50.8%,20,14.7%,19,28.4%,6,18.6
Charlotte,33,49,23,-2.8,28,100.8,30,45.9%,1,12.5%,28,25.7%,15,20.3,8,103.6,7,48.8%,27,13.4%,1,24.0%,8,19.0
Denver,30,52,24,-4.1,20,104.6,24,48.4%,12,14.6%,10,29.0%,12,20.3,26,108.7,21,50.7%,19,14.7%,20,28.5%,30,23.9
Sacramento,29,53,25,-4.3,17,104.9,21,49.1%,27,17.0%,6,29.9%,1,27.8,27,109.3,26,50.9%,26,13.5%,12,27.3%,13,20.2
Orlando,25,57,26,-6.6,27,101.7,15,49.6%,21,15.8%,29,25.6%,30,16.9,25,108.2,28,51.6%,13,15.3%,10,27.1%,19,21.3
LA Lakers,21,61,27,-8.6,25,102.5,27,47.2%,5,14.0%,14,27.7%,17,20.0,29,111.2,29,52.1%,25,13.5%,7,26.9%,28,23.3
Philadelphia,18,64,28,-10.0,30,95.6,29,46.1%,30,18.4%,12,28.1%,22,19.4,15,105.6,18,50.1%,2,17.4%,28,30.2%,26,22.9
Minnesota,16,66,29,-10.7,26,102.0,28,46.7%,22,15.8%,8,29.7%,2,24.0,30,112.7,30,53.9%,10,15.8%,30,30.7%,7,18.8
New York,17,65,30,-11.0,29,99.6,26,47.3%,24,16.1%,19,27.2%,28,17.9,28,110.6,27,51.5%,16,15.1%,25,30.0%,29,23.7
