Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,36.0,36.0,,,,,,,112.9,,112.9,,,4.2,4.2,,,,114.4,,114.4,,
Utah,1,+11.3,52,20,72.2%,65.7,57.7,29,-5.7,3,118.8,1,107.5,2,+1.9,6,2,1,+14.8,5,121.2,2,106.3,8,+2.8
LA Clippers,2,+6.8,47,25,65.3%,57.1,50.1,25,-3.1,4,118.6,9,111.8,14,+0.6,4,3,7,+6.4,17,113.7,4,107.3,20,-1.6
Phoenix,3,+6.2,51,21,70.8%,55.9,49.1,8,1.9,6,117.7,6,111.5,11,+0.9,6,3,12,+4.4,3,123.7,25,119.4,24,-3.3
Brooklyn,4,+5.7,48,24,66.7%,54.5,47.8,14,0.2,1,119.4,21,113.7,12,+0.9,5,3,5,+7.2,8,120.0,10,112.7,13,+0.7
Milwaukee,5,+5.5,46,26,63.9%,54.2,47.6,23,-1.6,7,117.5,10,112.1,24,-1.3,7,2,15,+2.6,6,120.6,24,118.1,28,-4.7
Denver,6,+5.5,47,25,65.3%,54.1,47.5,19,-0.5,5,118.0,11,112.5,9,+1.1,4,4,19,+0.6,16,113.8,12,113.2,14,+0.5
Philadelphia,7,+5.4,49,23,68.1%,54.5,47.9,10,1.1,13,113.7,3,108.2,4,+1.4,7,2,6,+6.9,12,115.7,6,108.8,19,-1.3
LA Lakers,8,+2.8,42,30,58.3%,48.3,42.4,18,-0.4,23,110.9,2,108.1,16,-0.1,6,3,18,+0.8,22,110.5,8,109.7,16,-0.9
Portland,9,+2.4,42,30,58.3%,46.8,41.1,12,0.9,2,119.1,29,116.7,15,+0.1,7,2,4,+11.8,1,126.7,17,114.9,4,+5.8
Dallas,10,+2.3,42,30,58.3%,46.8,41.1,11,0.9,8,116.2,22,113.8,20,-0.4,6,3,10,+4.7,7,120.2,20,115.6,23,-3.0
New York,11,+2.3,41,31,56.9%,47.0,41.3,17,-0.3,24,110.7,4,108.4,1,+4.1,6,3,13,+3.1,21,110.9,5,107.8,11,+1.3
Atlanta,12,+2.3,41,31,56.9%,46.6,40.9,15,0.1,9,115.5,17,113.2,5,+1.4,6,1,3,+12.5,2,123.9,9,111.4,2,+6.9
Boston,13,+1.6,36,36,50.0%,45.0,39.5,27,-3.5,10,114.2,12,112.6,22,-0.6,2,6,21,-1.5,18,113.0,15,114.5,18,-1.3
Memphis,14,+0.6,38,34,52.8%,42.6,37.4,13,0.6,16,112.3,7,111.6,8,+1.1,6,3,17,+0.8,14,114.9,14,114.1,22,-2.6
Golden State,15,+0.4,39,33,54.2%,42.0,36.9,7,2.1,21,111.1,5,110.7,10,+1.0,7,1,2,+13.0,10,119.4,3,106.4,1,+9.1
Miami,16,+0.1,40,32,55.6%,41.3,36.2,4,3.8,19,111.8,8,111.7,26,-2.1,6,2,11,+4.6,4,122.0,23,117.3,10,+1.9
Indiana,17,-0.4,34,38,47.2%,39.9,35.1,21,-1.1,14,112.5,14,112.9,18,-0.3,4,5,20,-0.6,13,115.0,21,115.6,11,+1.3
New Orleans,18,-0.7,31,41,43.1%,39.2,34.4,26,-3.4,12,114.0,23,114.7,19,-0.3,2,6,23,-7.0,26,106.2,11,113.1,17,-1.0
San Antonio,19,-1.0,33,39,45.8%,38.5,33.8,20,-0.8,18,111.8,13,112.8,23,-0.8,2,8,26,-10.4,23,109.2,26,119.6,25,-3.7
Toronto,20,-1.2,27,45,37.5%,38.0,33.4,30,-6.4,15,112.3,19,113.5,17,-0.3,1,7,22,-6.6,24,108.9,19,115.5,9,+2.2
Chicago,21,-1.3,31,41,43.1%,37.8,33.2,24,-2.2,17,111.8,15,113.1,6,+1.3,5,3,14,+2.9,20,112.1,7,109.2,3,+6.1
Washington,22,-1.6,34,38,47.2%,36.9,32.4,9,1.6,20,111.6,16,113.2,13,+0.7,5,3,16,+2.4,11,117.8,18,115.4,7,+2.8
Charlotte,23,-2.5,33,39,45.8%,34.6,30.4,5,2.6,22,111.0,20,113.5,7,+1.2,2,7,24,-7.4,25,108.5,22,115.8,27,-4.4
Sacramento,24,-3.4,31,41,43.1%,32.7,28.8,6,2.2,11,114.2,30,117.6,25,-1.7,5,4,8,+6.1,19,112.3,1,106.2,5,+5.4
Detroit,25,-4.8,20,52,27.8%,28.9,25.3,28,-5.3,26,108.4,18,113.2,3,+1.6,1,7,25,-8.9,27,105.9,16,114.8,21,-2.3
Minnesota,26,-6.1,23,49,31.9%,26.2,23.0,16,-0.0,25,110.1,27,116.2,21,-0.5,3,4,9,+5.8,9,119.4,13,113.6,6,+3.8
Houston,27,-8.5,17,55,23.6%,21.0,18.5,22,-1.5,27,107.7,28,116.2,28,-2.6,1,7,27,-12.9,15,114.2,30,127.1,15,+0.1
Cleveland,28,-8.8,22,50,30.6%,20.3,17.8,2,4.2,28,106.3,25,115.1,27,-2.2,1,7,28,-15.4,28,105.9,27,121.3,29,-5.7
Orlando,29,-9.1,21,51,29.2%,19.6,17.2,3,3.8,29,105.6,24,114.7,30,-3.4,1,7,29,-19.4,29,103.6,28,122.9,30,-8.0
Oklahoma City,30,-11.3,22,50,30.6%,15.7,13.7,1,8.3,30,103.9,26,115.1,29,-2.9,1,7,30,-21.5,30,102.2,29,123.7,26,-4.0
