Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,106.7,,88.7,,28.4%,,80.4%,,18.5,,16.9,,107.0
Atlanta,19,105.8,12,90.0,28,24.6%,20,81.7%,28,14.7,30,12.5,4,116.0
Boston,27,102.3,28,83.7,12,29.9%,13,80.5%,16,18.7,15,17.2,18,106.3
Brooklyn,14,106.9,4,93.0,26,25.1%,30,84.2%,30,13.8,27,13.6,28,99.5
Charlotte,24,103.9,17,87.8,24,25.8%,29,83.9%,29,14.4,29,12.5,9,112.4
Chicago,25,103.3,29,83.6,7,30.8%,17,81.4%,7,20.7,5,19.0,19,105.7
Cleveland,21,104.8,20,86.6,8,30.7%,18,81.6%,24,15.8,17,16.8,30,91.6
Dallas,6,110.7,2,94.9,23,26.9%,28,83.2%,21,17.0,22,15.2,14,109.5
Denver,18,106.0,21,86.5,9,30.5%,5,77.2%,15,18.8,9,18.3,27,100.0
Detroit,16,106.2,26,84.0,1,33.6%,1,75.7%,1,23.6,1,22.6,26,100.1
Golden State,11,107.9,9,91.6,21,27.6%,10,79.9%,12,19.2,8,18.4,22,101.4
Houston,4,111.0,11,90.4,6,30.9%,4,76.4%,5,21.1,7,18.5,10,111.1
Indiana,22,104.4,16,88.1,16,28.4%,26,82.8%,20,17.9,20,16.5,20,105.5
LA Clippers,1,112.2,5,92.8,13,28.7%,7,77.8%,17,18.6,19,16.5,13,109.9
LA Lakers,23,104.0,13,89.6,30,22.8%,16,81.3%,27,14.9,25,13.9,21,105.1
Memphis,15,106.6,19,87.2,3,31.3%,24,82.4%,11,19.4,6,18.6,24,100.7
Miami,2,111.6,1,96.5,29,23.4%,19,81.6%,22,16.9,24,14.0,1,118.5
Milwaukee,28,101.9,27,83.7,11,30.0%,11,80.1%,19,18.1,12,17.8,29,98.5
Minnesota,9,109.2,18,87.5,2,31.6%,6,77.6%,2,23.1,2,20.3,12,110.3
New Orleans,13,107.1,15,88.8,15,28.5%,15,80.8%,6,20.9,11,17.9,7,113.0
New York,12,107.9,10,91.2,20,27.6%,23,82.2%,13,19.0,18,16.7,11,110.9
Oklahoma City,5,110.8,7,91.8,14,28.5%,8,78.9%,8,20.1,14,17.4,8,112.6
Orlando,29,101.8,23,86.1,25,25.2%,21,81.7%,23,16.9,23,15.1,15,109.2
Philadelphia,30,99.4,30,82.0,22,27.2%,3,76.2%,18,18.3,13,17.6,23,100.7
Phoenix,8,109.7,8,91.7,17,28.3%,2,76.1%,14,18.9,10,18.2,25,100.2
Portland,3,111.6,6,92.2,4,31.1%,12,80.2%,4,21.5,4,19.5,17,106.5
Sacramento,20,105.6,24,85.7,5,31.0%,9,79.9%,3,22.9,3,20.2,16,109.1
San Antonio,7,110.6,3,94.3,27,24.7%,25,82.7%,26,15.6,28,13.0,2,117.7
Toronto,10,108.9,14,88.9,10,30.4%,27,82.8%,9,19.9,16,17.1,6,113.7
Utah,26,102.9,25,84.2,18,28.2%,22,81.7%,10,19.6,21,16.4,3,116.4
Washington,17,106.0,22,86.4,19,28.2%,14,80.7%,25,15.8,26,13.6,5,114.1
