Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,105.8,,87.4,,29.4%,,80.2%,,19.0,,17.5,,105.5
Atlanta,16,105.3,13,88.1,28,24.3%,5,78.3%,26,15.2,28,13.3,6,111.9
Boston,24,103.3,10,89.2,30,22.5%,20,80.9%,29,14.0,29,12.8,11,107.0
Brooklyn,7,108.6,9,89.8,2,33.2%,24,81.9%,11,20.4,7,19.9,27,98.7
Charlotte,28,101.3,30,81.0,15,29.7%,8,79.0%,24,17.0,23,15.7,16,105.0
Chicago,21,103.6,24,83.5,6,32.4%,19,80.8%,3,22.6,1,21.3,22,102.8
Cleveland,20,103.7,20,84.6,8,32.2%,21,81.2%,19,18.5,19,17.2,15,105.2
Dallas,12,106.1,8,90.4,27,24.4%,12,79.7%,27,15.0,26,14.4,23,102.2
Denver,5,110.9,14,88.0,3,33.2%,1,75.2%,2,23.7,4,20.8,7,110.0
Detroit,23,103.3,22,83.9,10,31.2%,9,79.0%,13,20.2,9,19.5,26,100.0
Golden State,11,106.2,11,89.0,24,27.5%,16,80.5%,22,17.7,20,16.8,18,103.5
Houston,6,109.8,5,91.9,13,30.1%,2,77.3%,17,19.1,14,18.2,24,101.4
Indiana,19,104.4,25,83.4,7,32.2%,11,79.7%,5,22.0,3,20.8,25,101.2
LA Clippers,3,111.5,6,90.9,5,32.7%,3,78.0%,8,20.6,11,18.5,9,108.5
LA Lakers,8,108.3,7,90.7,11,31.1%,22,81.3%,4,22.1,5,20.3,17,105.0
Memphis,18,105.2,23,83.7,1,33.5%,10,79.6%,6,21.8,2,21.2,28,98.6
Miami,1,113.4,1,98.3,26,25.2%,23,81.5%,25,15.4,27,13.5,5,112.0
Milwaukee,22,103.5,26,83.3,16,29.5%,6,78.6%,7,21.3,8,19.8,19,103.4
Minnesota,25,102.5,28,83.1,12,31.1%,15,80.4%,15,19.6,12,18.5,21,103.0
New Orleans,17,105.2,19,84.7,4,32.9%,28,82.2%,1,24.2,6,20.0,1,117.9
New York,4,111.2,4,92.9,21,28.1%,29,82.9%,14,19.8,21,16.7,3,115.3
Oklahoma City,2,112.2,3,93.0,18,28.9%,7,78.7%,10,20.4,13,18.4,8,108.7
Orlando,27,101.4,18,85.3,20,28.3%,27,82.1%,18,18.7,18,17.2,14,105.9
Philadelphia,26,102.2,21,84.4,23,27.8%,18,80.7%,20,18.1,22,16.4,13,106.7
Phoenix,29,101.2,27,83.2,14,29.7%,13,79.8%,23,17.0,17,17.3,30,95.4
Portland,13,106.0,12,88.7,19,28.8%,25,81.9%,9,20.6,16,17.4,4,115.2
Sacramento,15,105.6,17,86.1,17,28.9%,4,78.1%,12,20.3,10,19.0,20,103.2
San Antonio,9,108.0,2,95.1,29,23.5%,26,82.0%,30,13.4,30,12.3,12,106.8
Toronto,14,105.7,15,87.5,22,28.0%,30,83.8%,21,17.9,24,14.9,2,117.0
Utah,10,106.4,16,86.6,9,31.5%,14,80.3%,16,19.3,15,17.5,10,107.3
Washington,30,99.7,29,82.1,25,27.4%,17,80.7%,28,14.5,25,14.9,29,95.6
