Team,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Average,,109.0,,3.0,,15.2%,,121.9,,1.5,,56.7%,,135.1,,1.5,,29.8%,,116.4
Atlanta,26,105.2,29,1.4,16,15.1%,30,110.8,21,1.3,20,56.0%,24,128.2,30,0.2,17,28.8%,30,103.4
Boston,8,111.6,16,2.9,20,14.1%,15,122.3,6,1.9,12,58.3%,6,142.5,24,1.0,19,27.2%,20,113.1
Brooklyn,29,103.6,22,2.4,9,16.4%,24,117.4,17,1.5,8,59.8%,11,137.4,25,0.9,8,33.1%,27,110.9
Charlotte,14,109.3,24,2.2,27,13.1%,18,119.9,28,1.1,29,48.6%,21,131.2,19,1.2,25,25.4%,11,117.4
Chicago,20,107.5,9,3.4,11,16.3%,14,122.8,3,2.2,3,62.6%,3,144.1,16,1.3,13,30.5%,19,114.1
Cleveland,3,114.2,10,3.4,7,16.9%,16,122.2,26,1.2,18,56.4%,20,133.2,4,2.3,6,35.4%,9,120.1
Dallas,27,105.1,30,1.2,30,9.8%,29,113.4,30,0.6,30,42.3%,30,117.5,28,0.5,29,18.2%,24,111.9
Denver,4,113.2,20,2.7,13,15.7%,20,119.1,23,1.3,19,56.3%,22,130.2,14,1.4,11,32.4%,17,115.3
Detroit,24,106.3,14,3.0,10,16.3%,17,120.0,14,1.6,14,57.7%,9,137.6,13,1.5,10,32.7%,18,114.3
Golden State,1,116.8,1,5.4,1,19.9%,3,128.9,4,2.1,11,59.0%,10,137.6,1,3.2,2,39.4%,4,125.1
Houston,2,115.0,2,4.3,4,18.2%,10,125.1,10,1.7,10,59.0%,18,133.9,2,2.6,4,37.8%,6,122.9
Indiana,15,109.0,23,2.3,25,13.3%,19,119.9,24,1.2,24,53.6%,27,127.6,21,1.1,26,25.0%,13,117.0
LA Clippers,5,112.6,5,4.1,12,16.3%,4,128.6,20,1.4,21,54.7%,17,134.0,3,2.6,12,32.1%,1,126.3
LA Lakers,23,106.4,4,4.1,5,17.5%,8,126.5,1,2.4,2,63.9%,1,146.8,11,1.6,5,35.6%,14,116.8
Memphis,18,107.7,27,1.9,28,11.5%,21,118.0,25,1.2,27,49.2%,23,129.0,26,0.7,28,20.6%,26,111.7
Miami,17,108.2,11,3.4,21,14.1%,9,125.4,8,1.8,9,59.2%,8,140.7,12,1.6,22,26.9%,10,118.8
Milwaukee,12,109.7,6,4.0,15,15.4%,2,130.1,5,1.9,7,60.0%,5,142.7,6,2.0,15,29.6%,5,123.7
Minnesota,10,111.1,18,2.8,23,13.8%,12,123.3,9,1.7,17,56.5%,12,136.3,23,1.0,20,27.1%,16,115.7
New Orleans,25,105.6,26,2.0,18,14.5%,26,116.1,27,1.1,23,54.4%,25,127.8,22,1.0,18,27.6%,22,112.6
New York,19,107.7,25,2.0,17,14.6%,27,114.4,29,1.0,13,57.8%,29,121.5,20,1.2,16,29.5%,23,112.6
Oklahoma City,16,108.8,13,3.1,3,18.7%,25,116.5,18,1.4,6,62.0%,28,126.5,10,1.6,3,37.9%,21,112.7
Orlando,28,104.9,17,2.9,8,16.7%,22,117.8,11,1.7,4,62.3%,15,135.4,18,1.3,7,34.2%,25,111.7
Philadelphia,30,102.8,21,2.5,14,15.4%,23,117.4,12,1.6,15,56.7%,19,133.2,27,0.7,14,30.2%,28,108.6
Phoenix,22,106.5,7,3.9,2,19.1%,13,122.9,7,1.9,5,62.1%,13,136.2,8,1.8,1,40.3%,15,116.5
Portland,11,110.4,19,2.8,26,13.2%,11,123.9,19,1.4,25,53.3%,14,136.1,17,1.3,23,26.8%,12,117.4
Sacramento,21,107.1,28,1.8,24,13.4%,28,114.3,22,1.3,16,56.6%,26,127.8,29,0.5,27,25.0%,29,107.3
San Antonio,7,111.7,12,3.4,22,13.9%,7,127.0,13,1.6,28,49.2%,7,141.3,9,1.7,24,26.5%,8,120.3
Toronto,6,112.5,8,3.8,19,14.5%,5,128.3,16,1.5,22,54.6%,16,135.1,5,2.3,21,27.0%,2,125.6
Utah,13,109.6,15,3.0,29,10.0%,1,133.7,15,1.5,26,50.0%,2,145.1,15,1.4,30,16.8%,3,125.2
Washington,9,111.3,3,4.3,6,17.0%,6,128.2,2,2.3,1,65.1%,4,143.2,7,2.0,9,32.9%,7,120.9
