Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,49.9%,,50.4%,,60.4%,,38.4%,,39.6%,,39.1%,,39.0%,,35.8%,,36.7%
Atlanta,6,52.3%,11,50.7%,3,65.4%,20,37.5%,17,39.3%,17,38.5%,4,42.9%,11,36.6%,4,38.4%
Boston,12,50.7%,20,49.9%,16,59.8%,9,40.0%,1,44.0%,2,42.6%,8,40.1%,22,35.0%,15,36.8%
Brooklyn,14,50.3%,14,50.5%,20,58.9%,6,41.2%,11,40.5%,7,40.8%,7,40.5%,25,34.5%,16,36.7%
Charlotte,30,46.3%,16,50.3%,30,55.2%,30,33.9%,19,38.4%,26,36.6%,11,39.2%,26,33.4%,27,34.7%
Chicago,29,47.2%,22,49.6%,19,59.0%,28,34.5%,26,37.1%,27,36.1%,29,34.6%,10,36.6%,20,36.2%
Cleveland,27,47.4%,19,50.0%,29,56.0%,22,35.7%,7,41.2%,18,38.5%,28,34.9%,16,35.6%,23,35.5%
Dallas,10,51.0%,30,48.9%,12,60.9%,2,42.2%,3,43.1%,1,42.7%,22,36.5%,2,38.9%,5,38.3%
Denver,7,51.9%,2,52.7%,6,63.1%,24,35.2%,30,35.9%,30,35.5%,30,34.6%,17,35.6%,25,35.3%
Detroit,19,48.9%,4,51.5%,25,58.4%,23,35.2%,29,35.9%,29,35.6%,25,35.9%,7,36.8%,17,36.6%
Golden State,11,51.0%,28,49.0%,13,60.9%,16,38.3%,6,41.4%,9,40.1%,1,46.0%,1,39.9%,1,41.4%
Houston,5,52.6%,1,53.2%,11,61.3%,26,35.0%,27,36.8%,28,35.8%,12,39.0%,14,36.0%,13,36.9%
Indiana,22,48.2%,18,50.0%,17,59.3%,17,38.2%,25,37.8%,23,38.0%,26,35.6%,21,35.2%,24,35.3%
LA Clippers,3,52.9%,8,50.8%,2,65.8%,3,42.1%,10,40.6%,6,41.2%,13,38.7%,20,35.3%,18,36.5%
LA Lakers,9,51.5%,5,51.2%,7,62.8%,18,38.1%,8,41.2%,11,39.8%,20,36.9%,18,35.5%,22,35.9%
Memphis,26,47.6%,24,49.5%,28,56.1%,11,39.6%,16,39.6%,12,39.6%,10,39.4%,23,34.7%,21,36.2%
Miami,1,55.7%,7,50.9%,1,68.2%,12,39.2%,2,43.7%,4,41.9%,3,43.3%,3,38.6%,2,40.5%
Milwaukee,24,48.0%,13,50.6%,27,56.6%,27,34.9%,21,37.9%,25,36.7%,15,38.6%,12,36.3%,14,36.9%
Minnesota,28,47.4%,9,50.8%,23,58.7%,29,34.4%,12,40.4%,20,38.2%,24,36.2%,30,29.2%,30,30.9%
New Orleans,17,49.2%,15,50.3%,26,57.8%,15,38.4%,15,39.7%,16,39.1%,16,38.5%,6,36.9%,11,37.2%
New York,8,51.8%,3,51.6%,21,58.8%,21,36.6%,9,40.9%,13,39.6%,17,38.4%,4,38.4%,3,38.4%
Oklahoma City,4,52.9%,17,50.1%,4,65.2%,7,40.9%,5,42.3%,5,41.7%,5,42.3%,13,36.2%,8,37.8%
Orlando,20,48.6%,21,49.7%,14,60.1%,1,42.4%,22,37.9%,10,39.8%,23,36.3%,28,32.6%,29,33.5%
Philadelphia,21,48.5%,27,49.3%,24,58.6%,8,40.4%,18,38.8%,15,39.4%,19,37.8%,8,36.7%,12,37.0%
Phoenix,23,48.0%,26,49.4%,10,61.6%,25,35.2%,14,40.0%,22,38.1%,21,36.7%,29,32.5%,28,33.7%
Portland,13,50.4%,10,50.7%,15,60.0%,10,39.9%,13,40.1%,8,40.1%,9,39.4%,19,35.3%,19,36.4%
Sacramento,16,49.3%,12,50.7%,18,59.2%,14,38.5%,28,36.0%,24,37.2%,14,38.6%,9,36.7%,10,37.2%
San Antonio,2,53.2%,6,50.9%,5,63.4%,4,41.7%,4,42.5%,3,42.1%,6,41.2%,15,36.0%,7,37.9%
Toronto,18,49.0%,25,49.5%,8,62.4%,5,41.6%,23,37.9%,14,39.4%,27,35.2%,24,34.7%,26,34.8%
Utah,15,49.6%,23,49.5%,9,62.1%,19,38.1%,20,38.3%,21,38.2%,18,38.1%,5,37.9%,6,38.0%
Washington,25,47.7%,29,49.0%,22,58.8%,13,39.0%,24,37.8%,19,38.3%,2,45.6%,27,32.8%,9,37.3%
