Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,49.9%,,50.4%,,36.4%,,18.5%,,23.1%,,41.6%,,6.3%,,15.8%,,22.0%
Atlanta,6,52.3%,11,50.7%,22,34.8%,23,16.6%,20,22.2%,23,38.8%,8,7.5%,5,18.9%,4,26.4%
Boston,12,50.7%,20,49.9%,17,35.3%,26,16.3%,2,28.9%,10,45.2%,11,7.0%,28,12.5%,22,19.5%
Brooklyn,14,50.3%,14,50.5%,20,34.9%,4,21.8%,27,18.8%,17,40.6%,3,9.0%,17,15.5%,7,24.5%
Charlotte,30,46.3%,16,50.3%,5,38.8%,19,17.8%,10,25.0%,15,42.7%,28,4.0%,21,14.5%,28,18.5%
Chicago,29,47.2%,22,49.6%,11,37.0%,17,17.9%,3,28.3%,7,46.2%,29,4.0%,27,12.8%,29,16.8%
Cleveland,27,47.4%,19,50.0%,14,36.1%,5,21.7%,21,21.6%,12,43.3%,24,4.8%,13,15.9%,18,20.6%
Dallas,10,51.0%,30,48.9%,30,30.1%,1,23.8%,12,24.7%,2,48.4%,21,5.2%,9,16.3%,15,21.5%
Denver,7,51.9%,2,52.7%,1,49.3%,22,17.0%,29,14.4%,29,31.5%,10,7.0%,29,12.2%,24,19.3%
Detroit,19,48.9%,4,51.5%,2,44.0%,18,17.8%,26,19.0%,26,36.7%,17,5.6%,23,13.7%,23,19.3%
Golden State,11,51.0%,28,49.0%,29,30.5%,7,21.3%,7,26.3%,5,47.6%,20,5.3%,7,16.6%,13,21.9%
Houston,5,52.6%,1,53.2%,3,42.9%,29,14.0%,30,11.9%,30,25.9%,2,9.4%,2,21.8%,2,31.2%
Indiana,22,48.2%,18,50.0%,21,34.9%,3,21.8%,22,21.2%,13,43.0%,15,5.9%,10,16.2%,11,22.1%
LA Clippers,3,52.9%,8,50.8%,13,36.4%,25,16.5%,17,22.9%,21,39.4%,5,8.6%,16,15.6%,8,24.2%
LA Lakers,9,51.5%,5,51.2%,12,36.5%,20,17.5%,28,18.7%,27,36.2%,7,7.6%,3,19.7%,3,27.3%
Memphis,26,47.6%,24,49.5%,9,37.8%,2,23.1%,13,24.5%,4,47.6%,26,4.5%,30,10.1%,30,14.6%
Miami,1,55.7%,7,50.9%,15,35.5%,24,16.5%,18,22.5%,22,39.0%,1,10.4%,19,15.1%,6,25.5%
Milwaukee,24,48.0%,13,50.6%,6,38.3%,21,17.1%,16,23.3%,18,40.4%,19,5.4%,12,15.9%,16,21.3%
Minnesota,28,47.4%,9,50.8%,4,40.1%,27,15.0%,9,25.3%,19,40.3%,25,4.7%,20,14.9%,21,19.6%
New Orleans,17,49.2%,15,50.3%,7,38.1%,8,21.1%,23,20.6%,16,41.6%,30,3.8%,8,16.5%,20,20.3%
New York,8,51.8%,3,51.6%,23,34.7%,30,10.6%,19,22.4%,28,33.0%,6,8.1%,1,24.2%,1,32.3%
Oklahoma City,4,52.9%,17,50.1%,16,35.4%,12,19.3%,15,23.6%,14,43.0%,16,5.8%,14,15.8%,14,21.6%
Orlando,20,48.6%,21,49.7%,24,34.3%,10,19.7%,11,24.9%,11,44.5%,22,5.2%,11,16.0%,17,21.2%
Philadelphia,21,48.5%,27,49.3%,26,33.3%,16,18.3%,1,29.3%,3,47.6%,14,6.2%,26,12.9%,25,19.1%
Phoenix,23,48.0%,26,49.4%,25,34.0%,15,18.8%,4,28.2%,6,46.9%,18,5.6%,24,13.5%,26,19.1%
Portland,13,50.4%,10,50.7%,18,35.1%,28,14.8%,14,23.9%,25,38.7%,12,6.6%,4,19.6%,5,26.2%
Sacramento,16,49.3%,12,50.7%,8,38.0%,11,19.5%,24,20.5%,20,39.9%,13,6.3%,15,15.8%,12,22.1%
San Antonio,2,53.2%,6,50.9%,10,37.3%,13,19.2%,25,19.6%,24,38.7%,4,8.8%,18,15.2%,9,24.0%
Toronto,18,49.0%,25,49.5%,27,32.0%,14,18.8%,6,26.6%,9,45.4%,23,4.9%,6,17.7%,10,22.6%
Utah,15,49.6%,23,49.5%,19,35.1%,9,20.5%,8,25.7%,8,46.2%,27,4.4%,22,14.3%,27,18.7%
Washington,25,47.7%,29,49.0%,28,31.0%,6,21.3%,5,27.4%,1,48.7%,9,7.2%,25,13.1%,19,20.3%
